机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
比亚迪开始查员工学历了: 比亚迪开始查员工学历了
2247【投稿】老爸炒股赚了2500万，给我买了一辆宝马7。到了月底，全公司都在加班，我开车送利民好回家。在一个小区门口我把车停住就送你到这吧，我不进去了。她附在我耳边轻声说道你开车送我进去吧，顺便上去喝杯咖啡。我果断拒绝了，看着利民好的背影，我心想唉，当初要是好好练科目二，现在也不用害怕倒不出车来了！: 父亲炒股赚了2500万给我买了一辆宝马7
我发表了头条文章《为什么刀片电池能够吸引欧洲媒体的关注？》为什么刀片电池能够吸引欧洲媒体的关注？: 欧洲媒体关注刀片电池
【民族品牌进军欧洲，多家媒体及网友对比亚迪3给予肯定评价】近两个月中国新能源汽车比亚迪进入欧洲市场引起国外媒体广泛关注。当地主流电视台德国知名汽车媒体等在对比亚迪3(元)的产品测试中，对刀片电池的安全性整车设计与驾驶体验等方面均给予好评。其中网友的评价都很中肯，比如不是一款运动型轿车，但是性能足够，同时也很舒适我希望我们国家也有这款车，我正需要这种不那么贵的新能源车很棒的测评，你永远可以相信刀片电池3超级安全的中国汽车。毋庸置疑新能源是大势所趋，在这样的大环境下，无论是国内还是国外的消费者对新能源车最根本的诉求无非就是买的实惠开着安全用的长久。比亚迪依托自身强大的全产业生态闭环，极大的提高了旗下车型的性价比，这一点在网友的留言中也有体现。说起开着安全和用得长久，那么就不得不提刀片电池。电芯与电池包一体化的设计，使车辆强度大幅度提升。在叠片结构与陶瓷电池技术的加持下，电芯发生内短时，一般不会发生剧烈反应，极端情况下仅有冒烟现象（针刺无冒烟）。另外在欧洲媒体的报道视频中也展示了穿刺实验和重卡碾压测试。穿刺实验时三元电池在实验中爆炸起火，而比亚迪刀片电池则完好无损。重卡碾压测试则是将完全承受46吨满载重卡碾压后的电池包重新装车，仍可继续驱动车辆行驶。不仅仅是电池安全性，在使用寿命上比亚迪也是非常用心，这也使得比亚迪刀片电池充放电次数可达3000次以上，行驶里程也来到了惊人的120万公里，几乎可以覆盖用车全场景并且贯穿车辆全使用周期。2023年，期待我们新能源汽车领域的一哥能够给我们带来更多惊喜的同时，也祝愿比亚迪能够被更多的国外媒体和消费者所熟知。: 【凤凰汽车每日一评
喷国产新能源车的，可以说完全是不懂车的喷子。生怕国产车超越欧美日是吧，现在国产新能源的发展方向完全正确，更加舒适便利科技才是汽车发展的方向。。。啥年代了，还隔这发动机变速箱底盘，要开车登珠穆朗玛峰呢，你马路上飚个车试试，纯纯的虚荣，欧美日不过是建立了足够久的品牌效应，国产当自强。。。本人驾龄14年，1准假，汽车行驶上百万公里，摩托车驾驶超过二十万公里。。。黑国产自燃的更是纯尬黑，本人在路口站岗三年半，啥牌子自燃我都见过，这是品牌保有量高了不可避免的，逮着国产自燃黑的真的是没见过世面。。。国产当自强，大家请不要尬黑，我实名制下一辆车购买国产新能源车: 黑国产自燃的纯尬黑,本人在路口站岗三年半
极氪003的正式名称为极氪，紧凑型，看到个奢字，我有点害怕[]: 极氪003正式名称为极氪
2月1日，据电厂消息，蔚来开始针对2022款6和8进行降价促销，7也有一定的优惠幅度。从两位销售人员处确认，这一促销方案是2月1日上午例会上通知并开始执行。但是，在蔚来官网蔚来和其他官方信息渠道并没有公布这一消息。: 蔚来开始针对2022款6和8进行降价促销
营收为王，文远知行领跑价值4万亿的自动驾驶马拉松: 文远知行领跑价值4万亿的自动驾驶马拉松
既然已经到了这个地步，看来之前的爆料还是靠谱的，小米汽车的外观大概就长这样了，也不排除会有些小变化。对标特斯拉3和比亚迪海豚？主要还得看价格，说不定还真是1999万起，还未开卖，先赚100万，这新的致富道路？[]: 小米汽车外观曝光,售价1999万起
蔚来的服务无忧用一次觉得值一次[老师好]我那个360前置摄像头之前不是裂了吗，就叫了个服务无忧把车取走回售后维修，售后管家一共给我打了三个电话第一次是问我都有啥问题，我说摄像头裂了要换，车身还有一些划痕和凹陷，如果合适就一起修。第二次反馈摄像头维修方案，大概率是路上石子崩的，赶巧了崩摄像头上了。然后告知我车身有哪些划痕，推荐先不修，因为都不在一个面上（服务无忧可以免费修六个面），都很小也不影响观感，修了很可能过两天又刮了第三次是告诉我修好了，钱是咋算的，问我怎么还车。然后联系了代驾把车给我开回公司地库了。我那几天就都没开7，今天回来一看，车修好了，洗得贼干净，内饰都洗了，电满了，玻璃水和防冻液加了。舒坦[赢牛奶]: 360前置摄像头裂了要换
发布了头条文章《窥一斑而知全豹，从耐刺耐压的刀片电池，揭晓比亚迪海外刷屏的原因》为什么比亚迪新能源车在国外认可度如此之高，刀片电池有何厉害之处？一起揭晓窥一斑而知全豹，从耐刺耐压的刀片电池，揭晓比亚迪海外刷屏的原因: 从耐刺耐压的刀片电池,揭晓比亚迪海外刷屏的原因
春节过后，我们的摩卡进行了首次技术升级。在使用过程中，我们能够感受到续航增加对于冬季出行所来带的便利，成为我们生活中不可或缺的一员。: 春节过后,摩卡进行了首次技术升级
小米汽车科技有限公司申请的穿戴设备以及穿戴设备的数据处理方法专利今日正式公布。该公开涉及一种穿戴设备以及穿戴设备的数据处理方法，穿戴设备包括显示屏第一蓝牙模块以及处理器。其中，第一蓝牙模块用于建立穿戴设备与车辆之间的通信连接处理器用于获取穿戴设备与车辆之间的距离，并在距离小于设定的距离阈值时，控制显示屏的显示界面从第一界面切换至第二界面，第二界面包括用于控制车辆的一个或多个控件。专利摘要显示，该穿戴设备能够在距离车辆较近时，自动显示用于控制车辆的控件。这样用户可以便捷地通过控件对车辆进行控制，而无需进行额外的操作。: 穿戴设备以及穿戴设备的数据处理方法专利正式公布
该给车车换小装饰啦: 给车车换小装饰
理想的5座理想7要来了，有多少人在等？这个新配色，大家觉得如何？7的定位会是什么？还是主打家庭吗？: 理想的5座理想7
低调造车是别想了，今年新能源局势势必会更加猛烈，所以小米的压力肯定会更大。设计泄密参照小米手机之前的泄密事件，是不是证明了小米汽车还没造出来，就已经有了手机那样的市场地位。不过相比恒大汽车一早就曝光了自己所有车型的外观，小米汽车这严防死守的态度相当。: 小米汽车设计泄密
我有时候会讽刺下茅台，但是我从不讽刺比亚迪和华为，因为这些才是中国工业的中流砥柱。华为的牛，大家都知道，就不说了，20年前去西安，当地都是出租车，口碑不好，但是现在比亚迪是真的牛了，比亚迪最厉害的两点，1是新能源车厉害，2是将中国主流汽车的价格从10万元推上了20万元，当然理想汽车这种，也为比亚迪的上推做出杰出贡献: 比亚迪牛
看完打卡重庆的精彩，下期视频我们将来到长安深蓝工厂，探寻在精彩背后的技术结晶，给大家讲解原力电动。: 原力电动:打卡重庆的精彩,下期视频我们将来到长安深蓝工厂
有多少司机这样做过？绕个圈避开红绿灯，还压双实线: 司机这样做过?绕个圈避开红绿灯
如果每辆汽车都是独一无二的，绝大部分零配件都不能通用，这样将会使车主更加珍爱自己的汽车。但是，个别汽车零配件损坏的车主终于还是用金钱权力和时间，从茫茫车海等到了特定的报废车的零配件，从而延续了爱车的使用寿命。正常情况下，这种等待也需要碰，需要很长时间的等待，因为车辆配型非常难。但是，如果不需要很长时间的等待，一辆车在几年之内就可以更换好几个零配件，这说明什么？是科技进步？还是形成了零配件产业链？还是已经建立了汽车零配件重组大数据平台？有人很自豪，他的爱车已经有好几个零配件都不是原装的。但是，却有更多的爱车失踪了。当然，跟鞋带无关，跟教育部门无关。只与金钱权力和科技有关。: 汽车零配件重组大数据平台
高速路口偶遇阿斯顿马丁车主瞬间格局打开: 路口偶遇阿斯顿马丁车主瞬间格局打开
部分数据曝光标准版1499万，高性能版2299万。综合续航256，最高时速155，零百加速68秒。我觉得假的。首先，因为256的续航，没有任何竞争优势。考虑到电池衰减，更甚。其次，起售价不到15万，把其它车企赶上绝境，自己也难独善其身。: 标准版1499万高性能版2299万
